,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
11,No,travel_rarely,1382.7460317460318,,23,3,Life Sciences,12,4,0,3,4, MANUfACturing DIReCtOr ,2,Married,,"29037,67$",4,Yes,12,,1,Full Time,1,"33,0",0,"3,0",19,15,9,1967,"134020,00$",False
12,No,,1362.5238095238096,,10,3,Medical,13,2,1,1,3, REseaRCh dirEcToR ,3,Married,,"28613,00$",3,No,12,"3,0",1,Full Time,1,,3,"3,0",18,1,11,1985,"132060,00$",1
13,Yes,travel_rarely,2016.547619047619,,12,3,,14,2,1,3,5, reseARCh DIrEctoR ,3,Married,,"42347,50$",1,No,12,"3,0",4,Full Time,0,,0,"3,0",22,15,8,1982,"195450,00$",False
14,No,,1973.9841269841268,,14,4,Medical,15,3,0,4,5, RESeaRCH dirEctor ,2,Single,"15943,72$","41453,67$",8,No,11,"3,0",4,,0,,3,"3,0",24,2,15,1968,,True
15,No,travel_rarely,1861.373015873016,,2,4,,16,3,1,3,5, MAnAgeR ,3,,"15034,17$","39088,83$",0,No,14,"3,0",4,Full Time,0,,2,"3,0",20,1,12,1983,"180410,00$",0
16,Yes,travel_rarely,1985.6984126984123,,2,4,,17,4,0,3,5, reSeARCh DIrEcToR ,2,Single,"16038,33$","41699,67$",7,Yes,12,"3,0",4,Full Time,0,"40,0",2,"3,0",31,13,8,1965,"192460,00$",0
17,No,travel_rarely,1582.7713464696226,,2,3,,18,3,1,3,4, MAnaGER ,1,,"12783,92$","33238,20$",8,,23,"4,0",1,,0,"28,0",2,"3,0",26,15,9,1977,,False
18,No,,556.2566609977324,,-13,5,Life Sciences,19,2,0,4,2, REseArcH sciENtiST ,1,Married,"4492,84$","11681,39$",1,,11,"3,0",4,,0,,2,"3,0",16,1,10,1988,,False
19,No,travel_rarely,1032.4872861766066,,15,3,Life Sciences,20,1,1,2,3, MAnUFaCtUring dIRecTOr ,3,,"8339,32$","21682,23$",1,,13,"3,0",4,,2,"18,0",2,,18,14,12,1983,,True
20,No,non-travel,1108.920634920635, Research & Development ,1,1,,21,3,0,2,3, heaLtHcArE repResENtATiVe ,3,,"8956,67$","23287,33$",3,,23,"4,0",4,Full Time,1,"25,0",3,"2,0",23,14,4,1978,"107480,00$",False
21,No,,1032.4872861766066,,1,2,Life Sciences,22,1,1,3,3, RESEARCH dIrECtor ,4,Single,,"21682,23$",1,Yes,12,"3,0",3,Part Time,0,"15,0",1,"3,0",15,8,12,1990,"100071,84$",True
22,No,,1032.4872861766066,,8,3,,23,3,1,3,3, hEaltHCarE ReprESENTAtIvE ,3,Divorced,,"21682,23$",1,,13,,2,,3,"17,0",2,"3,0",17,12,8,1987,"100071,84$",1
23,No,,1728.3809523809523,,2,2,Other,24,3,1,3,4, maNagEr ,4,Married,,"36296,00$",1,,11,"3,0",3,Full Time,1,,3,"2,0",26,3,0,1976,"167520,00$",False
24,No,travel_rarely,639.7857142857143,,-42,2,Life Sciences,25,42,0,3,2, SALEs exeCUtIVe ,4,,"5167,50$","13435,50$",1,,14,"3,0",4,Full Time,1,"18,0",1,,18,4,11,1987,"62010,00$",True
25,No,,1032.4872861766066,,9,3,Life Sciences,26,4,1,2,3, manUfACtURing dirEctOR ,3,Married,,"21682,23$",1,Yes,20,"4,0",2,Part Time,1,"17,0",2,"3,0",17,5,15,1988,"100071,84$",False
26,Yes,,2047.5,,2,1,,27,1,1,1,5, mAnageR ,4,Married,,"42997,50$",1,No,15,"3,0",4,Full Time,1,"33,0",3,"3,0",32,6,9,1971,"198450,00$",1
27,No,,556.2566609977324,,2,4,Life Sciences,28,3,1,3,2, MaNufActURing dIrecTOr ,2,Single,"4492,84$","11681,39$",9,Yes,11,"3,0",4,,0,"18,0",2,"3,0",16,5,12,1987,"53914,11$",0
28,No,travel_rarely,556.2566609977324,,28,4,Life Sciences,29,2,0,3,2, laBoratOry tecHNiCiaN ,3,Married,"4492,84$","11681,39$",1,,12,"3,0",2,Part Time,1,"15,0",3,"3,0",15,5,7,1990,"53914,11$",Yes
29,No,non-travel,412.8015873015873, Sales ,10,3,Life Sciences,30,4,0,3,2, saLEs exEcutIVe ,3,,"3334,17$","8668,83$",1,Yes,14,"3,0",3,Part Time,1,"15,0",3,"3,0",15,0,7,1989,"40010,00$",1
30,No,,1077.8650793650793, Sales ,-37,1,,31,37,1,3,3, Sales ExECuTIVe ,3,Divorced,"8705,83$","22635,17$",0,,13,"3,0",4,Full Time,1,,3,"4,0",22,13,5,1982,"104470,00$",Yes
31,No,,1032.4872861766066, Research & Development ,25,3,Medical,32,1,0,3,3, heALthCArE RePResEntaTIVe ,3,,"8339,32$","21682,23$",2,,23,"4,0",2,,0,"25,0",3,"3,0",17,12,11,1976,,Yes
32,No,travel_rarely,1973.9841269841268,,5,3,,33,3,1,3,5, ManAgER ,3,,"15943,72$","41453,67$",4,,11,"3,0",4,Full Time,1,"26,0",3,"2,0",14,4,8,1970,"191324,62$",Yes
33,No,,556.2566609977324,,1,4,Marketing,34,3,0,2,2, salEs EXeCUtIvE ,1,Single,"4492,84$","11681,39$",0,No,14,,2,Part Time,0,"16,0",2,"3,0",15,2,8,1988,"53914,11$",0
34,No,travel_rarely,556.2566609977324,,6,4,Other,35,1,1,3,2, rEsEARcH SCIeNTist ,3,Single,"4492,84$","11681,39$",1,,14,"3,0",3,,0,"16,0",3,"3,0",16,2,10,1989,,True
35,No,travel_rarely,1032.4872861766066,,1,2,,36,2,1,3,3, SALEs eXECuTive ,1,Divorced,"8339,32$","21682,23$",1,No,25,"4,0",3,Part Time,3,"24,0",2,"3,0",24,15,7,1977,"100071,84$",Yes
36,No,,1657.3968253968255,,16,3,,37,4,1,3,4, ManagEr ,4,Married,,"34805,33$",5,,22,"4,0",3,Full Time,1,"22,0",3,"3,0",17,1,9,1980,"160640,00$",1
37,No,,331.1904761904762, Research & Development ,6,3,Life Sciences,38,4,0,3,1, lABORAtOry tECHnIcIan ,4,Married,"2675,00$","6955,00$",0,,11,"3,0",3,Full Time,1,"16,0",4,"3,0",15,10,11,1987,"32100,00$",True
38,No,travel_frequently,1059.1904761904764,,28,3,,39,3,1,2,3, Sales exEcUtiVe ,1,Married,"8555,00$","22243,00$",4,No,19,"3,0",4,Full Time,0,"22,0",5,"4,0",18,13,11,1963,"102660,00$",1
39,No,travel_frequently,1080.7539682539684,,5,4,,40,4,0,2,3, saLes eXEcUTIVE ,1,Married,"8729,17$","22695,83$",5,Yes,21,"4,0",3,Full Time,1,"20,0",2,"3,0",18,1,12,1983,"104750,00$",0
40,No,travel_rarely,635.7619047619048,,4,3,,41,3,1,2,2, maNufactUring DIrEcToR ,3,Married,,"13351,00$",1,No,12,"3,0",3,Full Time,1,"14,0",3,"3,0",14,6,8,1991,"61620,00$",0
41,No,travel_rarely,487.0873015873016,,-35,3,,42,35,0,3,1, LaboRAtorY TecHNiCiAn ,1,Single,"3934,17$","10228,83$",2,Yes,13,,3,Full Time,0,"20,0",3,"3,0",18,2,17,1982,"47210,00$",1
42,No,,1582.7713464696226,,2,2,Medical,43,3,0,3,4, ManageR ,3,Divorced,"12783,92$","33238,20$",6,No,13,"3,0",3,Full Time,1,"22,0",3,"4,0",17,15,2,1970,"153407,07$",False
43,Yes,travel_rarely,290.03550973654063,,16,4,,44,3,1,4,1, LABorAToRY tECHnIciAN ,1,Single,,"6090,75$",1,,16,"3,0",3,Part Time,0,"18,0",1,"3,0",17,15,14,1987,"28111,13$",Yes
44,No,,476.1507936507937,,8,4,Life Sciences,45,4,1,2,2, RESEarch SCIenTisT ,1,Divorced,"3845,83$","9999,17$",8,Yes,23,"4,0",1,Part Time,3,,2,"3,0",16,1,7,1977,"46150,00$",0
45,No,travel_rarely,556.2566609977324,,1,4,,46,4,0,3,2, SalES exECUTIve ,2,Married,"4492,84$","11681,39$",0,No,15,"3,0",1,,2,"16,0",3,,15,5,8,1985,"53914,11$",1
46,No,,1032.4872861766066,,1,4,,47,1,1,2,3, heAltHCare rEPrESEntaTIvE ,1,Single,"8339,32$","21682,23$",3,,20,"4,0",3,Part Time,0,"23,0",1,"2,0",13,12,8,1972,"100071,84$",True
47,No,,1749.7380952380954,,26,2,,48,3,0,3,4, maNaGeR ,4,Married,"14132,50$","36744,50$",1,Yes,12,"3,0",4,Full Time,2,"25,0",3,"4,0",25,4,12,1980,"169590,00$",1
48,No,,290.03550973654063,,1,3,Life Sciences,49,4,1,3,1, ResEARCh SciENTist ,4,Single,,"6090,75$",1,No,12,"3,0",2,Part Time,0,,3,"3,0",17,5,7,1986,"28111,13$",Yes
49,No,travel_rarely,556.2566609977324,,8,2,Technical Degree,50,3,1,2,2, salES ExecuTIve ,2,Married,,"11681,39$",1,Yes,11,"3,0",4,Part Time,0,,2,"3,0",13,11,9,1991,"53914,11$",True
50,No,,1032.4872861766066,,1,3,,51,4,1,3,3, ReSeaRch directOR ,1,Married,"8339,32$","21682,23$",1,,13,"3,0",2,Part Time,1,"15,0",3,"3,0",15,5,11,1985,"100071,84$",False
51,No,,1582.7713464696226,,3,3,Life Sciences,52,3,1,3,4, mAnAgER ,2,,"12783,92$","33238,20$",8,No,12,"3,0",4,Full Time,1,"23,0",2,"4,0",13,5,1,1977,"153407,07$",Yes
52,Yes,travel_rarely,1063.3174603174605,,10,3,Medical,53,4,0,2,3, sAles EXecuTive ,1,Married,"8588,33$","22329,67$",9,,17,"3,0",3,,0,"15,0",3,,13,6,0,1988,,0
53,No,,1973.9841269841268,,6,3,Medical,54,1,1,2,5, MaNAGEr ,3,Married,"15943,72$","41453,67$",7,No,13,"3,0",4,,0,"21,0",2,"3,0",16,6,14,1980,,Yes
54,No,non-travel,556.2566609977324,,1,4,Life Sciences,55,3,0,3,2, hEALThcArE REPrESeNTATive ,3,Divorced,"4492,84$","11681,39$",1,No,21,,1,,1,,2,"2,0",13,1,9,1967,,Yes
55,No,non-travel,557.7619047619048,,15,4,Marketing,56,4,0,1,2, SAlES ExECuTIVe ,4,divorced,"4505,00$","11713,00$",1,No,24,"4,0",1,Full Time,1,,4,"2,0",15,11,11,1987,"54060,00$",1
56,No,,556.2566609977324,,6,3,Medical,57,2,1,1,2, rEseARch SCieNtIsT ,4,,,"11681,39$",7,,12,"3,0",4,Part Time,3,"17,0",3,"3,0",13,1,9,1985,"53914,11$",Yes
57,No,,556.2566609977324,,-26,4,Medical,58,3,1,3,2, maNufActUrInG DIrECtOr ,1,,,"11681,39$",1,No,14,"3,0",3,Part Time,0,"16,0",2,"2,0",15,5,11,1974,"53914,11$",0
58,No,travel_rarely,608.936507936508,,4,4,Life Sciences,59,4,1,2,2, sALEs eXeCuTIvE ,3,Married,"4918,33$","12787,67$",4,,14,"3,0",3,Full Time,1,"17,0",1,"4,0",15,5,9,1984,"59020,00$",Yes
59,No,,1119.9603174603176,,4,4,,60,3,0,2,3, SALES eXECUtiVE ,4,Married,,"23519,17$",7,No,11,,1,Full Time,1,"15,0",2,"2,0",12,2,11,1983,"108550,00$",Yes
60,No,,610.1746031746031,,5,2,,61,4,0,3,2, lAboratORy TeChNiCiaN ,2,Single,"4928,33$","12813,67$",8,No,16,"3,0",4,Full Time,0,"16,0",3,"4,0",13,3,7,1987,"59140,00$",1
61,No,,556.2566609977324,,25,5,,62,2,1,3,2, RESEaRCh sCIENtIst ,3,Married,,"11681,39$",3,Yes,15,"3,0",1,,2,"15,0",2,"3,0",13,10,7,1986,"53914,11$",0
62,No,,685.6984126984128,,6,4,,63,2,0,1,2, REsEarcH sCieNTISt ,4,,"5538,33$","14399,67$",1,,13,"3,0",2,Full Time,0,,3,"3,0",17,11,8,1988,"66460,00$",Yes
63,No,travel_frequently,556.2566609977324,,6,3,Life Sciences,64,3,0,3,2, heaLthCaRE ReprEseNtaTiVe ,4,Divorced,"4492,84$","11681,39$",3,No,23,"4,0",3,Part Time,1,"15,0",2,"1,0",13,4,7,1990,"53914,11$",False
64,No,travel_rarely,1441.65873015873, Research & Development ,24,3,,65,4,0,3,4, ManufactUrINg DiReCTOr ,3,Married,,"30274,83$",3,Yes,18,"3,0",4,Full Time,1,"22,0",2,"3,0",12,1,5,1973,"139730,00$",False
65,No,travel_rarely,1032.4872861766066,,4,4,,66,3,0,2,3, HEaLthcAre REPrEsEntaTIvE ,3,Single,,"21682,23$",7,,14,,2,Part Time,0,"27,0",3,"3,0",15,4,8,1975,"100071,84$",Yes
66,No,travel_rarely,1374.2857142857142, Sales ,28,3,,67,4,1,4,4, SaleS eXEcUtIVE ,4,Married,"11100,00$","28860,00$",3,,18,"3,0",3,,1,,2,"3,0",12,11,11,1979,,1
67,No,travel_rarely,556.2566609977324,,29,4,,68,4,0,3,2, reseaRCH ScIEntIst ,4,Single,,"11681,39$",1,,25,"4,0",2,Part Time,0,,3,"3,0",20,13,17,1979,"53914,11$",Yes
68,No,,556.2566609977324,,-25,1,,69,25,1,4,2, HEAlTHcaRe ReprESeNtatIVe ,3,,,"11681,39$",5,No,20,"4,0",2,Part Time,3,"15,0",0,"3,0",12,11,8,1983,"53914,11$",True
69,No,travel_rarely,689.9285714285714,,2,4,,70,3,1,3,2, HeaLthCare repRESeNTaTIVE ,4,Single,"5572,50$","14488,50$",1,,11,"3,0",4,Full Time,0,"14,0",2,"4,0",14,4,11,1989,"66870,00$",True
70,No,non-travel,556.2566609977324, Research & Development ,8,4,,71,3,1,3,2, HEaLthcaRe rEprEsEnTAtiVe ,3,,"4492,84$","11681,39$",1,,12,"3,0",4,Part Time,1,,5,"3,0",14,2,9,1988,"53914,11$",True
71,No,,1032.4872861766066,,17,5,Life Sciences,72,4,1,2,3, ReseArcH diReCtOr ,1,,,"21682,23$",5,No,15,"3,0",3,Part Time,3,,3,"3,0",14,1,11,1973,"100071,84$",0
72,No,,1582.7713464696226,,6,1,Life Sciences,73,3,1,2,4, healthcArE repReSEnTaTive ,3,,"12783,92$","33238,20$",2,,19,"3,0",2,Full Time,1,,3,"3,0",15,2,12,1974,"153407,07$",Yes
73,No,travel_frequently,488.531746031746,,1,3,Life Sciences,74,4,0,3,2, reSeARch sCientIst ,4,,,"10259,17$",7,No,15,"3,0",4,Part Time,2,"19,0",4,,13,2,9,1985,"47350,00$",True
74,No,,290.03550973654063,,21,3,,75,2,0,4,1, lAbOrAtory tecHnIciaN ,2,,,"6090,75$",1,No,18,"3,0",4,Part Time,3,"14,0",6,,14,2,13,1990,"28111,13$",True
75,No,travel_rarely,1032.4872861766066,,4,3,Life Sciences,76,3,1,2,3, maNufACTURING DIREctOr ,2,Divorced,"8339,32$","21682,23$",8,Yes,12,,3,Part Time,1,,4,"3,0",22,14,10,1976,"100071,84$",Yes
76,No,,556.2566609977324, Research & Development ,8,3,,77,4,1,2,2, rESeArCH sCientIST ,2,Divorced,"4492,84$","11681,39$",1,,16,"3,0",3,,1,"20,0",3,"3,0",20,0,7,1985,,0
77,No,travel_rarely,1032.4872861766066,,10,3,Life Sciences,78,3,1,4,3, ResEarCh dIReCtOr ,4,,"8339,32$","21682,23$",1,Yes,25,"4,0",1,Part Time,1,"16,0",2,"3,0",16,6,8,1986,"100071,84$",Yes
78,No,,556.2566609977324,,2,3,,79,3,0,2,2, hEALtHcare REpREsenTAtiVe ,4,Married,,"11681,39$",1,No,19,,1,Part Time,3,"11,0",3,"3,0",11,10,8,1993,"53914,11$",Yes
79,No,travel_rarely,1431.2380952380954,,-18,4,,80,4,0,3,4, saLes ExECutiVE ,3,Single,"11560,00$","30056,00$",0,,13,"3,0",3,Full Time,0,"38,0",1,"2,0",37,1,8,1965,"138720,00$",1
80,No,travel_rarely,1032.4872861766066,,5,3,,81,3,1,2,3, mAnagER ,1,Single,"8339,32$","21682,23$",2,,12,"3,0",4,,0,"14,0",6,"3,0",11,5,8,1989,,0
81,Yes,travel_rarely,1032.4872861766066,,23,4,Medical,82,4,1,3,3, hEaLtHCARE ReprESENTATivE ,4,Married,"8339,32$","21682,23$",1,,12,"3,0",4,Part Time,1,"40,0",3,"2,0",40,15,6,1965,"100071,84$",Yes
82,No,,1032.4872861766066,,3,3,Life Sciences,83,1,0,3,3, Sales exECuTIVE ,3,Divorced,"8339,32$","21682,23$",0,,12,"3,0",3,,2,,6,"2,0",16,5,13,1985,,1
83,No,travel_frequently,1032.4872861766066,,1,1,,84,2,1,3,3, SalEs eXecUTIVe ,4,Married,"8339,32$","21682,23$",1,,14,"3,0",4,Part Time,1,"11,0",5,"3,0",11,4,1,1994,"100071,84$",True
84,No,travel_rarely,1964.9603174603176,,1,3,Medical,85,4,0,3,5, manAger ,1,Single,"15870,83$","41264,17$",0,,14,"3,0",3,Full Time,0,"37,0",2,"3,0",36,4,13,1968,"190450,00$",1
85,No,,1652.34126984127,,-10,4,,86,4,0,3,4, MAnager ,2,,"13345,83$","34699,17$",1,,19,"3,0",2,,0,,2,"3,0",22,0,4,1982,,Yes
86,No,travel_rarely,991.8174603174604, Research & Development ,1,3,,87,3,0,4,3, healTHCAre rePREseNtATiVE ,4,,"8010,83$","20828,17$",0,No,17,,1,Part Time,3,"19,0",5,"2,0",18,3,7,1984,"96130,00$",0
87,No,,1187.5396825396826,,15,2,Life Sciences,88,3,0,2,3, rESEaRCh DirEcToR ,4,,,"24938,33$",0,,14,"3,0",2,Full Time,1,,3,"3,0",11,2,9,1985,"115100,00$",1
88,No,,1582.7713464696226,,12,3,,89,1,0,2,4, researCH DIrECtoR ,2,,"12783,92$","33238,20$",1,No,11,"3,0",3,Full Time,1,,3,,25,3,9,1980,"153407,07$",True
89,No,,444.26984126984127,,-30,2,,90,2,1,3,2, MaNufactuRINg dIrecTor ,1,Married,"3588,33$","9329,67$",1,No,12,"3,0",2,,1,"13,0",5,"1,0",13,3,12,1992,,Yes
90,No,travel_rarely,1758.7142857142858, Research & Development ,-27,4,Life Sciences,91,27,0,2,4, mANaGer ,3,Marreid,"14205,00$","36933,00$",0,No,15,"3,0",2,Full Time,1,"28,0",2,"3,0",27,15,7,1973,"170460,00$",True
91,No,,1032.4872861766066,,25,3,Technical Degree,92,4,0,2,3, MaNUFACTuRing dirECTOr ,2,Married,"8339,32$","21682,23$",3,No,16,,1,Part Time,0,,2,"3,0",13,4,8,1988,"100071,84$",0
92,No,,522.7857142857143,,16,4,,93,3,0,4,2, manufaCtURiNG DirecToR ,3,,"4222,50$","10978,50$",1,Yes,19,"3,0",3,,0,"20,0",3,,19,2,7,1976,,Yes
93,No,,1032.4872861766066, Research & Development ,25,4,,94,3,1,3,3, HEAltHCaRe REPreseNTatIve ,3,Divorced,"8339,32$","21682,23$",1,Yes,11,,3,Part Time,1,,3,"2,0",16,10,1,1988,"100071,84$",1
94,No,travel_rarely,1032.4872861766066,,20,4,,95,1,0,3,3, hEaLtHCaRe reprEsenTaTive ,4,Married,,"21682,23$",4,,20,"4,0",4,Part Time,1,"14,0",6,"3,0",11,11,1,1983,"100071,84$",1
95,No,,556.2566609977324, Sales ,9,4,Life Sciences,96,2,1,2,2, SaLeS eXECUTivE ,3,Married,"4492,84$","11681,39$",1,,13,"3,0",4,Part Time,1,"15,0",2,"3,0",15,4,12,1978,"53914,11$",0
96,No,,290.03550973654063, Research & Development ,9,3,Medical,97,1,0,3,1, reSeARCH SCIEnTiST ,4,Married,,"6090,75$",0,,13,"3,0",2,,1,"15,0",5,"3,0",14,4,10,1990,"28111,13$",False
97,No,travel_frequently,380.9206349206349,,3,3,,98,3,0,3,1, ResEArCH sCIEntisT ,2,Married,"3076,67$","7999,33$",1,No,12,"3,0",3,Full Time,0,"12,0",2,"2,0",11,0,7,1987,"36920,00$",False
98,Yes,,1973.9841269841268,,-13,3,Marketing,99,1,1,1,5, maNAger ,2,,"15943,72$","41453,67$",2,Yes,16,"3,0",1,Full Time,0,"26,0",2,"3,0",24,1,11,1978,"191324,62$",True
99,No,travel_frequently,2047.7063492063487,,-27,3,,100,27,0,3,5, ManAgeR ,2,,,"43001,83$",4,Yes,24,,1,Full Time,1,,5,"2,0",29,11,10,1972,"198470,00$",0
100,No,travel_rarely,238.12698412698413,,7,2,Technical Degree,101,2,0,3,1, SaLes rEPREsENtAtivE ,3,,,"5000,67$",0,Yes,25,"4,0",2,Part Time,1,"12,0",4,"3,0",11,5,7,1989,"23080,00$",0
101,No,travel_rarely,1582.7713464696226, Research & Development ,15,2,,102,3,0,2,4, ReSearch DiRecTOR ,3,,,"33238,20$",1,No,24,"4,0",1,Full Time,1,,3,"3,0",14,6,11,1980,"153407,07$",1
102,No,,556.2566609977324,,5,2,Medical,103,2,0,2,2, LABoRATOry teChnicIan ,4,,"4492,84$","11681,39$",1,No,14,"3,0",3,Part Time,1,,3,,15,4,13,1989,"53914,11$",0
103,No,,290.03550973654063,,2,3,,104,1,0,3,1, huMan RESOURcEs ,2,Divorced,"2342,59$","6090,75$",5,No,13,"3,0",4,Part Time,3,"13,0",3,"3,0",11,3,8,1985,"28111,13$",1
104,No,,1973.9841269841268,,10,3,,105,4,0,2,5, ResearcH DiReCtOR ,2,,,"41453,67$",4,No,12,"3,0",4,Full Time,0,"29,0",3,"3,0",22,12,9,1975,"191324,62$",0
105,No,,592.9444444444445, Research & Development ,22,4,Other,106,3,0,2,2, resEaRCh SciEnTist ,4,Married,"4789,17$","12451,83$",1,Yes,15,"3,0",2,Full Time,0,"16,0",3,"3,0",15,6,11,1989,"57470,00$",False
106,No,travel_rarely,1075.2857142857142,,-31,4,,107,31,1,3,3, SAleS eXEcUtIve ,4,,"8685,00$","22581,00$",1,No,19,"3,0",3,Full Time,2,"14,0",3,"3,0",14,5,7,1991,"104220,00$",Yes
107,No,travel_rarely,1032.4872861766066,,21,4,Life Sciences,108,2,1,4,3, maNufaCturing direcTOr ,1,Divorced,"8339,32$","21682,23$",1,No,11,"3,0",3,,1,"10,0",1,"3,0",10,8,8,1994,,0
108,No,,1032.4872861766066,,1,3,Medical,109,3,0,2,3, HEalThCare REPreseNTAtive ,1,Married,,"21682,23$",2,Yes,13,"3,0",3,,1,"21,0",5,"2,0",10,9,5,1977,"100071,84$",False
109,No,,654.8492063492064, Human Resources ,9,3,,110,3,0,3,2, hUmaN REsoUrCes ,4,Married,"5289,17$","13751,83$",0,Yes,19,"3,0",4,Full Time,0,,2,"1,0",11,4,7,1993,"63470,00$",0
110,No,,242.25396825396828,,9,3,Life Sciences,111,2,0,3,2, LaboRaTORY TechnICiAn ,2,,"1956,67$","5087,33$",8,No,18,"3,0",3,Part Time,1,"20,0",2,,17,0,15,1978,"23480,00$",Yes
111,No,travel_rarely,1032.4872861766066,,5,3,,112,2,1,3,3, SalES ExeCuTIVe ,4,,"8339,32$","21682,23$",2,No,12,"3,0",3,Part Time,1,,2,"3,0",10,7,4,1993,"100071,84$",True
112,No,,316.95238095238096,,9,3,,113,3,0,3,2, lABOrAtorY tEcHNICian ,1,,,"6656,00$",1,No,11,,3,Part Time,2,"12,0",4,"3,0",12,6,10,1993,"30720,00$",Yes
113,No,travel_frequently,556.2566609977324,,-29,1,,114,4,0,2,2, manUFACTuRiNg dIrECToR ,3,Married,"4492,84$","11681,39$",1,,17,"3,0",3,,0,"10,0",2,"2,0",10,1,9,1989,,False
114,No,travel_rarely,1288.6507936507935,,8,4,Life Sciences,115,2,0,2,3, RESEArCh dIRECTOR ,2,Married,"10408,33$","27061,67$",5,No,16,"3,0",4,Full Time,2,"16,0",5,"1,0",10,4,7,1972,"124900,00$",0
115,No,,556.2566609977324,,-39,4,Life Sciences,116,39,0,2,2, MAnufACturiNg dIReCtOR ,1,,"4492,84$","11681,39$",6,,13,"3,0",2,Part Time,1,"13,0",3,"3,0",11,5,9,1989,"53914,11$",1
116,No,travel_rarely,827.4603174603175,,16,3,,117,3,0,3,3, Sales ExEcUTIvE ,2,Married,"6683,33$","17376,67$",0,,15,"3,0",3,Part Time,2,"12,0",3,"2,0",11,6,9,1988,"80200,00$",1
117,No,travel_frequently,1032.4872861766066,,7,3,Life Sciences,118,1,0,3,3, LaboRaTOrY techNiciaN ,1,,"8339,32$","21682,23$",1,,18,"3,0",1,Part Time,1,"24,0",2,"3,0",24,9,11,1978,"100071,84$",Yes
118,No,,1760.9841269841272,,10,1,,119,3,0,3,4, ManageR ,1,Married,,"36980,67$",1,,14,,4,Full Time,0,"21,0",3,"3,0",21,11,10,1984,"170680,00$",Yes
119,No,,922.6904761904764,,7,2,,120,3,1,2,3, MANufacTUrinG diREcTor ,3,Married,"7452,50$","19376,50$",1,No,24,"4,0",1,Part Time,1,"10,0",2,"3,0",10,8,9,1992,"89430,00$",False
